naics,census,naics_description,sgf_code,sgf_description
339,othuna,Miscellaneous manufacturing,F52,Other and unallocable
42,othuna,Wholesale trade,F52,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F52,Other and unallocable
452,othuna,General merchandise stores,F52,Other and unallocable
4A0,othuna,Other retail,F52,Other and unallocable
81,othuna,"Other services, except government",F52,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F52,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F52,Other and unallocable
324,othuna,Petroleum refineries,F87,Other and unallocable
325,othuna,Chemical products,F87,Other and unallocable
326,othuna,Plastics and rubber products,F87,Other and unallocable
327,othuna,Nonmetallic mineral products,F87,Other and unallocable
331,othuna,Primary metals,F87,Other and unallocable
332,othuna,Fabricated metal products,F87,Other and unallocable
333,othuna,Machinery,F87,Other and unallocable
334,othuna,Computer and electronic products,F87,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F87,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F87,Other and unallocable
3364OT,othuna,Other transportation equipment,F87,Other and unallocable
337,othuna,Furniture and related products,F87,Other and unallocable
339,othuna,Miscellaneous manufacturing,F87,Other and unallocable
42,othuna,Wholesale trade,F87,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F87,Other and unallocable
452,othuna,General merchandise stores,F87,Other and unallocable
4A0,othuna,Other retail,F87,Other and unallocable
81,othuna,"Other services, except government",F87,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F87,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F87,Other and unallocable
324,othuna,Petroleum refineries,M66,Other and unallocable
325,othuna,Chemical products,M66,Other and unallocable
326,othuna,Plastics and rubber products,M66,Other and unallocable
327,othuna,Nonmetallic mineral products,M66,Other and unallocable
331,othuna,Primary metals,M66,Other and unallocable
332,othuna,Fabricated metal products,M66,Other and unallocable
333,othuna,Machinery,M66,Other and unallocable
334,othuna,Computer and electronic products,M66,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M66,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M66,Other and unallocable
3364OT,othuna,Other transportation equipment,M66,Other and unallocable
337,othuna,Furniture and related products,M66,Other and unallocable
339,othuna,Miscellaneous manufacturing,M66,Other and unallocable
42,othuna,Wholesale trade,M66,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M66,Other and unallocable
452,othuna,General merchandise stores,M66,Other and unallocable
4A0,othuna,Other retail,M66,Other and unallocable
81,othuna,"Other services, except government",M66,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M66,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M66,Other and unallocable
324,othuna,Petroleum refineries,E50,Other and unallocable
325,othuna,Chemical products,E50,Other and unallocable
326,othuna,Plastics and rubber products,E50,Other and unallocable
327,othuna,Nonmetallic mineral products,E50,Other and unallocable
331,othuna,Primary metals,E50,Other and unallocable
332,othuna,Fabricated metal products,E50,Other and unallocable
333,othuna,Machinery,E50,Other and unallocable
334,othuna,Computer and electronic products,E50,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E50,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E50,Other and unallocable
3364OT,othuna,Other transportation equipment,E50,Other and unallocable
337,othuna,Furniture and related products,E50,Other and unallocable
339,othuna,Miscellaneous manufacturing,E50,Other and unallocable
42,othuna,Wholesale trade,E50,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E50,Other and unallocable
452,othuna,General merchandise stores,E50,Other and unallocable
4A0,othuna,Other retail,E50,Other and unallocable
81,othuna,"Other services, except government",E50,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E50,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E50,Other and unallocable
324,othuna,Petroleum refineries,G87,Other and unallocable
325,othuna,Chemical products,G87,Other and unallocable
326,othuna,Plastics and rubber products,G87,Other and unallocable
327,othuna,Nonmetallic mineral products,G87,Other and unallocable
331,othuna,Primary metals,G87,Other and unallocable
332,othuna,Fabricated metal products,G87,Other and unallocable
333,othuna,Machinery,G87,Other and unallocable
334,othuna,Computer and electronic products,G87,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G87,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G87,Other and unallocable
3364OT,othuna,Other transportation equipment,G87,Other and unallocable
337,othuna,Furniture and related products,G87,Other and unallocable
339,othuna,Miscellaneous manufacturing,G87,Other and unallocable
42,othuna,Wholesale trade,G87,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G87,Other and unallocable
452,othuna,General merchandise stores,G87,Other and unallocable
4A0,othuna,Other retail,G87,Other and unallocable
81,othuna,"Other services, except government",G87,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G87,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G87,Other and unallocable
324,othuna,Petroleum refineries,E60,Other and unallocable
325,othuna,Chemical products,E60,Other and unallocable
326,othuna,Plastics and rubber products,E60,Other and unallocable
327,othuna,Nonmetallic mineral products,E60,Other and unallocable
331,othuna,Primary metals,E60,Other and unallocable
332,othuna,Fabricated metal products,E60,Other and unallocable
333,othuna,Machinery,E60,Other and unallocable
334,othuna,Computer and electronic products,E60,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E60,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E60,Other and unallocable
3364OT,othuna,Other transportation equipment,E60,Other and unallocable
337,othuna,Furniture and related products,E60,Other and unallocable
339,othuna,Miscellaneous manufacturing,E60,Other and unallocable
42,othuna,Wholesale trade,E60,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E60,Other and unallocable
452,othuna,General merchandise stores,E60,Other and unallocable
4A0,othuna,Other retail,E60,Other and unallocable
81,othuna,"Other services, except government",E60,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E60,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E60,Other and unallocable
324,othuna,Petroleum refineries,F80,Other and unallocable
325,othuna,Chemical products,F80,Other and unallocable
326,othuna,Plastics and rubber products,F80,Other and unallocable
327,othuna,Nonmetallic mineral products,F80,Other and unallocable
331,othuna,Primary metals,F80,Other and unallocable
332,othuna,Fabricated metal products,F80,Other and unallocable
333,othuna,Machinery,F80,Other and unallocable
334,othuna,Computer and electronic products,F80,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F80,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F80,Other and unallocable
3364OT,othuna,Other transportation equipment,F80,Other and unallocable
337,othuna,Furniture and related products,F80,Other and unallocable
339,othuna,Miscellaneous manufacturing,F80,Other and unallocable
42,othuna,Wholesale trade,F80,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F80,Other and unallocable
452,othuna,General merchandise stores,F80,Other and unallocable
4A0,othuna,Other retail,F80,Other and unallocable
81,othuna,"Other services, except government",F80,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F80,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F80,Other and unallocable
324,othuna,Petroleum refineries,F81,Other and unallocable
325,othuna,Chemical products,F81,Other and unallocable
326,othuna,Plastics and rubber products,F81,Other and unallocable
327,othuna,Nonmetallic mineral products,F81,Other and unallocable
331,othuna,Primary metals,F81,Other and unallocable
332,othuna,Fabricated metal products,F81,Other and unallocable
333,othuna,Machinery,F81,Other and unallocable
334,othuna,Computer and electronic products,F81,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F81,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F81,Other and unallocable
3364OT,othuna,Other transportation equipment,F81,Other and unallocable
337,othuna,Furniture and related products,F81,Other and unallocable
339,othuna,Miscellaneous manufacturing,F81,Other and unallocable
42,othuna,Wholesale trade,F81,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F81,Other and unallocable
452,othuna,General merchandise stores,F81,Other and unallocable
4A0,othuna,Other retail,F81,Other and unallocable
81,othuna,"Other services, except government",F81,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F81,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F81,Other and unallocable
324,othuna,Petroleum refineries,M52,Other and unallocable
325,othuna,Chemical products,M52,Other and unallocable
326,othuna,Plastics and rubber products,M52,Other and unallocable
327,othuna,Nonmetallic mineral products,M52,Other and unallocable
331,othuna,Primary metals,M52,Other and unallocable
332,othuna,Fabricated metal products,M52,Other and unallocable
333,othuna,Machinery,M52,Other and unallocable
334,othuna,Computer and electronic products,M52,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M52,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M52,Other and unallocable
3364OT,othuna,Other transportation equipment,M52,Other and unallocable
337,othuna,Furniture and related products,M52,Other and unallocable
339,othuna,Miscellaneous manufacturing,M52,Other and unallocable
42,othuna,Wholesale trade,M52,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M52,Other and unallocable
452,othuna,General merchandise stores,M52,Other and unallocable
4A0,othuna,Other retail,M52,Other and unallocable
81,othuna,"Other services, except government",M52,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M52,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M52,Other and unallocable
324,othuna,Petroleum refineries,G80,Other and unallocable
325,othuna,Chemical products,G80,Other and unallocable
326,othuna,Plastics and rubber products,G80,Other and unallocable
327,othuna,Nonmetallic mineral products,G80,Other and unallocable
331,othuna,Primary metals,G80,Other and unallocable
332,othuna,Fabricated metal products,G80,Other and unallocable
333,othuna,Machinery,G80,Other and unallocable
334,othuna,Computer and electronic products,G80,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G80,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G80,Other and unallocable
3364OT,othuna,Other transportation equipment,G80,Other and unallocable
337,othuna,Furniture and related products,G80,Other and unallocable
339,othuna,Miscellaneous manufacturing,G80,Other and unallocable
42,othuna,Wholesale trade,G80,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G80,Other and unallocable
452,othuna,General merchandise stores,G80,Other and unallocable
4A0,othuna,Other retail,G80,Other and unallocable
81,othuna,"Other services, except government",G80,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G80,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G80,Other and unallocable
324,othuna,Petroleum refineries,E66,Other and unallocable
325,othuna,Chemical products,E66,Other and unallocable
326,othuna,Plastics and rubber products,E66,Other and unallocable
327,othuna,Nonmetallic mineral products,E66,Other and unallocable
331,othuna,Primary metals,E66,Other and unallocable
332,othuna,Fabricated metal products,E66,Other and unallocable
333,othuna,Machinery,E66,Other and unallocable
334,othuna,Computer and electronic products,E66,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E66,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E66,Other and unallocable
3364OT,othuna,Other transportation equipment,E66,Other and unallocable
337,othuna,Furniture and related products,E66,Other and unallocable
339,othuna,Miscellaneous manufacturing,E66,Other and unallocable
42,othuna,Wholesale trade,E66,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E66,Other and unallocable
452,othuna,General merchandise stores,E66,Other and unallocable
4A0,othuna,Other retail,E66,Other and unallocable
81,othuna,"Other services, except government",E66,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E66,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E66,Other and unallocable
324,othuna,Petroleum refineries,G60,Other and unallocable
325,othuna,Chemical products,G60,Other and unallocable
326,othuna,Plastics and rubber products,G60,Other and unallocable
327,othuna,Nonmetallic mineral products,G60,Other and unallocable
331,othuna,Primary metals,G60,Other and unallocable
332,othuna,Fabricated metal products,G60,Other and unallocable
333,othuna,Machinery,G60,Other and unallocable
334,othuna,Computer and electronic products,G60,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G60,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G60,Other and unallocable
3364OT,othuna,Other transportation equipment,G60,Other and unallocable
337,othuna,Furniture and related products,G60,Other and unallocable
339,othuna,Miscellaneous manufacturing,G60,Other and unallocable
42,othuna,Wholesale trade,G60,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G60,Other and unallocable
452,othuna,General merchandise stores,G60,Other and unallocable
4A0,othuna,Other retail,G60,Other and unallocable
81,othuna,"Other services, except government",G60,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G60,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G60,Other and unallocable
324,othuna,Petroleum refineries,S89,Other and unallocable
325,othuna,Chemical products,S89,Other and unallocable
326,othuna,Plastics and rubber products,S89,Other and unallocable
327,othuna,Nonmetallic mineral products,S89,Other and unallocable
331,othuna,Primary metals,S89,Other and unallocable
332,othuna,Fabricated metal products,S89,Other and unallocable
333,othuna,Machinery,S89,Other and unallocable
334,othuna,Computer and electronic products,S89,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",S89,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",S89,Other and unallocable
3364OT,othuna,Other transportation equipment,S89,Other and unallocable
337,othuna,Furniture and related products,S89,Other and unallocable
339,othuna,Miscellaneous manufacturing,S89,Other and unallocable
42,othuna,Wholesale trade,S89,Other and unallocable
441,othuna,Motor vehicle and parts dealers,S89,Other and unallocable
452,othuna,General merchandise stores,S89,Other and unallocable
4A0,othuna,Other retail,S89,Other and unallocable
81,othuna,"Other services, except government",S89,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",S89,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,S89,Other and unallocable
324,othuna,Petroleum refineries,F89,Other and unallocable
325,othuna,Chemical products,F89,Other and unallocable
326,othuna,Plastics and rubber products,F89,Other and unallocable
327,othuna,Nonmetallic mineral products,F89,Other and unallocable
331,othuna,Primary metals,F89,Other and unallocable
332,othuna,Fabricated metal products,F89,Other and unallocable
333,othuna,Machinery,F89,Other and unallocable
334,othuna,Computer and electronic products,F89,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F89,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F89,Other and unallocable
3364OT,othuna,Other transportation equipment,F89,Other and unallocable
337,othuna,Furniture and related products,F89,Other and unallocable
339,othuna,Miscellaneous manufacturing,F89,Other and unallocable
42,othuna,Wholesale trade,F89,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F89,Other and unallocable
452,othuna,General merchandise stores,F89,Other and unallocable
4A0,othuna,Other retail,F89,Other and unallocable
81,othuna,"Other services, except government",F89,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F89,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F89,Other and unallocable
324,othuna,Petroleum refineries,E80,Other and unallocable
325,othuna,Chemical products,E80,Other and unallocable
326,othuna,Plastics and rubber products,E80,Other and unallocable
327,othuna,Nonmetallic mineral products,E80,Other and unallocable
331,othuna,Primary metals,E80,Other and unallocable
332,othuna,Fabricated metal products,E80,Other and unallocable
333,othuna,Machinery,E80,Other and unallocable
334,othuna,Computer and electronic products,E80,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E80,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E80,Other and unallocable
3364OT,othuna,Other transportation equipment,E80,Other and unallocable
337,othuna,Furniture and related products,E80,Other and unallocable
339,othuna,Miscellaneous manufacturing,E80,Other and unallocable
42,othuna,Wholesale trade,E80,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E80,Other and unallocable
452,othuna,General merchandise stores,E80,Other and unallocable
4A0,othuna,Other retail,E80,Other and unallocable
81,othuna,"Other services, except government",E80,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E80,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E80,Other and unallocable
324,othuna,Petroleum refineries,G52,Other and unallocable
325,othuna,Chemical products,G52,Other and unallocable
326,othuna,Plastics and rubber products,G52,Other and unallocable
327,othuna,Nonmetallic mineral products,G52,Other and unallocable
331,othuna,Primary metals,G52,Other and unallocable
332,othuna,Fabricated metal products,G52,Other and unallocable
333,othuna,Machinery,G52,Other and unallocable
334,othuna,Computer and electronic products,G52,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G52,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G52,Other and unallocable
3364OT,othuna,Other transportation equipment,G52,Other and unallocable
337,othuna,Furniture and related products,G52,Other and unallocable
339,othuna,Miscellaneous manufacturing,G52,Other and unallocable
42,othuna,Wholesale trade,G52,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G52,Other and unallocable
452,othuna,General merchandise stores,G52,Other and unallocable
4A0,othuna,Other retail,G52,Other and unallocable
81,othuna,"Other services, except government",G52,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G52,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G52,Other and unallocable
324,othuna,Petroleum refineries,G66,Other and unallocable
325,othuna,Chemical products,G66,Other and unallocable
326,othuna,Plastics and rubber products,G66,Other and unallocable
327,othuna,Nonmetallic mineral products,G66,Other and unallocable
331,othuna,Primary metals,G66,Other and unallocable
332,othuna,Fabricated metal products,G66,Other and unallocable
333,othuna,Machinery,G66,Other and unallocable
334,othuna,Computer and electronic products,G66,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",G66,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",G66,Other and unallocable
3364OT,othuna,Other transportation equipment,G66,Other and unallocable
337,othuna,Furniture and related products,G66,Other and unallocable
339,othuna,Miscellaneous manufacturing,G66,Other and unallocable
42,othuna,Wholesale trade,G66,Other and unallocable
441,othuna,Motor vehicle and parts dealers,G66,Other and unallocable
452,othuna,General merchandise stores,G66,Other and unallocable
4A0,othuna,Other retail,G66,Other and unallocable
81,othuna,"Other services, except government",G66,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",G66,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,G66,Other and unallocable
324,othuna,Petroleum refineries,F01,Other and unallocable
325,othuna,Chemical products,F01,Other and unallocable
326,othuna,Plastics and rubber products,F01,Other and unallocable
327,othuna,Nonmetallic mineral products,F01,Other and unallocable
331,othuna,Primary metals,F01,Other and unallocable
332,othuna,Fabricated metal products,F01,Other and unallocable
333,othuna,Machinery,F01,Other and unallocable
334,othuna,Computer and electronic products,F01,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F01,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F01,Other and unallocable
3364OT,othuna,Other transportation equipment,F01,Other and unallocable
337,othuna,Furniture and related products,F01,Other and unallocable
339,othuna,Miscellaneous manufacturing,F01,Other and unallocable
42,othuna,Wholesale trade,F01,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F01,Other and unallocable
452,othuna,General merchandise stores,F01,Other and unallocable
4A0,othuna,Other retail,F01,Other and unallocable
81,othuna,"Other services, except government",F01,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F01,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F01,Other and unallocable
324,othuna,Petroleum refineries,F60,Other and unallocable
325,othuna,Chemical products,F60,Other and unallocable
326,othuna,Plastics and rubber products,F60,Other and unallocable
327,othuna,Nonmetallic mineral products,F60,Other and unallocable
331,othuna,Primary metals,F60,Other and unallocable
332,othuna,Fabricated metal products,F60,Other and unallocable
333,othuna,Machinery,F60,Other and unallocable
334,othuna,Computer and electronic products,F60,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",F60,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",F60,Other and unallocable
3364OT,othuna,Other transportation equipment,F60,Other and unallocable
337,othuna,Furniture and related products,F60,Other and unallocable
339,othuna,Miscellaneous manufacturing,F60,Other and unallocable
42,othuna,Wholesale trade,F60,Other and unallocable
441,othuna,Motor vehicle and parts dealers,F60,Other and unallocable
452,othuna,General merchandise stores,F60,Other and unallocable
4A0,othuna,Other retail,F60,Other and unallocable
81,othuna,"Other services, except government",F60,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",F60,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,F60,Other and unallocable
324,othuna,Petroleum refineries,E01,Other and unallocable
325,othuna,Chemical products,E01,Other and unallocable
326,othuna,Plastics and rubber products,E01,Other and unallocable
327,othuna,Nonmetallic mineral products,E01,Other and unallocable
331,othuna,Primary metals,E01,Other and unallocable
332,othuna,Fabricated metal products,E01,Other and unallocable
333,othuna,Machinery,E01,Other and unallocable
334,othuna,Computer and electronic products,E01,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E01,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E01,Other and unallocable
3364OT,othuna,Other transportation equipment,E01,Other and unallocable
337,othuna,Furniture and related products,E01,Other and unallocable
339,othuna,Miscellaneous manufacturing,E01,Other and unallocable
42,othuna,Wholesale trade,E01,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E01,Other and unallocable
452,othuna,General merchandise stores,E01,Other and unallocable
4A0,othuna,Other retail,E01,Other and unallocable
81,othuna,"Other services, except government",E01,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E01,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E01,Other and unallocable
324,othuna,Petroleum refineries,E03,Other and unallocable
325,othuna,Chemical products,E03,Other and unallocable
326,othuna,Plastics and rubber products,E03,Other and unallocable
327,othuna,Nonmetallic mineral products,E03,Other and unallocable
331,othuna,Primary metals,E03,Other and unallocable
332,othuna,Fabricated metal products,E03,Other and unallocable
333,othuna,Machinery,E03,Other and unallocable
334,othuna,Computer and electronic products,E03,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E03,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E03,Other and unallocable
3364OT,othuna,Other transportation equipment,E03,Other and unallocable
337,othuna,Furniture and related products,E03,Other and unallocable
339,othuna,Miscellaneous manufacturing,E03,Other and unallocable
42,othuna,Wholesale trade,E03,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E03,Other and unallocable
452,othuna,General merchandise stores,E03,Other and unallocable
4A0,othuna,Other retail,E03,Other and unallocable
81,othuna,"Other services, except government",E03,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E03,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E03,Other and unallocable
324,othuna,Petroleum refineries,M01,Other and unallocable
325,othuna,Chemical products,M01,Other and unallocable
326,othuna,Plastics and rubber products,M01,Other and unallocable
327,othuna,Nonmetallic mineral products,M01,Other and unallocable
331,othuna,Primary metals,M01,Other and unallocable
332,othuna,Fabricated metal products,M01,Other and unallocable
333,othuna,Machinery,M01,Other and unallocable
334,othuna,Computer and electronic products,M01,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M01,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M01,Other and unallocable
3364OT,othuna,Other transportation equipment,M01,Other and unallocable
337,othuna,Furniture and related products,M01,Other and unallocable
339,othuna,Miscellaneous manufacturing,M01,Other and unallocable
42,othuna,Wholesale trade,M01,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M01,Other and unallocable
452,othuna,General merchandise stores,M01,Other and unallocable
4A0,othuna,Other retail,M01,Other and unallocable
81,othuna,"Other services, except government",M01,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M01,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M01,Other and unallocable
324,othuna,Petroleum refineries,M80,Other and unallocable
325,othuna,Chemical products,M80,Other and unallocable
326,othuna,Plastics and rubber products,M80,Other and unallocable
327,othuna,Nonmetallic mineral products,M80,Other and unallocable
331,othuna,Primary metals,M80,Other and unallocable
332,othuna,Fabricated metal products,M80,Other and unallocable
333,othuna,Machinery,M80,Other and unallocable
334,othuna,Computer and electronic products,M80,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M80,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M80,Other and unallocable
3364OT,othuna,Other transportation equipment,M80,Other and unallocable
337,othuna,Furniture and related products,M80,Other and unallocable
339,othuna,Miscellaneous manufacturing,M80,Other and unallocable
42,othuna,Wholesale trade,M80,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M80,Other and unallocable
452,othuna,General merchandise stores,M80,Other and unallocable
4A0,othuna,Other retail,M80,Other and unallocable
81,othuna,"Other services, except government",M80,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M80,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M80,Other and unallocable
324,othuna,Petroleum refineries,M87,Other and unallocable
325,othuna,Chemical products,M87,Other and unallocable
326,othuna,Plastics and rubber products,M87,Other and unallocable
327,othuna,Nonmetallic mineral products,M87,Other and unallocable
331,othuna,Primary metals,M87,Other and unallocable
332,othuna,Fabricated metal products,M87,Other and unallocable
333,othuna,Machinery,M87,Other and unallocable
334,othuna,Computer and electronic products,M87,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",M87,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",M87,Other and unallocable
3364OT,othuna,Other transportation equipment,M87,Other and unallocable
337,othuna,Furniture and related products,M87,Other and unallocable
339,othuna,Miscellaneous manufacturing,M87,Other and unallocable
42,othuna,Wholesale trade,M87,Other and unallocable
441,othuna,Motor vehicle and parts dealers,M87,Other and unallocable
452,othuna,General merchandise stores,M87,Other and unallocable
4A0,othuna,Other retail,M87,Other and unallocable
81,othuna,"Other services, except government",M87,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",M87,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,M87,Other and unallocable
324,othuna,Petroleum refineries,E81,Other and unallocable
325,othuna,Chemical products,E81,Other and unallocable
326,othuna,Plastics and rubber products,E81,Other and unallocable
327,othuna,Nonmetallic mineral products,E81,Other and unallocable
331,othuna,Primary metals,E81,Other and unallocable
332,othuna,Fabricated metal products,E81,Other and unallocable
333,othuna,Machinery,E81,Other and unallocable
334,othuna,Computer and electronic products,E81,Other and unallocable
335,othuna,"Electrical equipment, appliances, and components",E81,Other and unallocable
3361MV,othuna,"Motor vehicles, bodies and trailers, and parts manufacturing",E81,Other and unallocable
3364OT,othuna,Other transportation equipment,E81,Other and unallocable
337,othuna,Furniture and related products,E81,Other and unallocable
339,othuna,Miscellaneous manufacturing,E81,Other and unallocable
42,othuna,Wholesale trade,E81,Other and unallocable
441,othuna,Motor vehicle and parts dealers,E81,Other and unallocable
452,othuna,General merchandise stores,E81,Other and unallocable
4A0,othuna,Other retail,E81,Other and unallocable
81,othuna,"Other services, except government",E81,Other and unallocable
Used,othuna,"Scrap, used and secondhand goods",E81,Other and unallocable
Other,othuna,Noncomparable imports and rest-of-the-world adjustment,E81,Other and unallocable
324,othuna,Petroleum refineries,G03,Other and unallocable
325,othuna,Chemical products,G03,Other and unallocable
326,othuna,Plastics and rubber products,G03,Other and unallocable
327,othuna,Nonmetallic mineral products,G03,Other and unallocable
